agresywny,aggressive
aktywny,active
arogancki,arrogant
atrakcyjny,attractive
bezczelny,cheeky
bezmyślny,thoughtless
beznadziejny,hopeless
bezpieczny,safe
bezpłatny,free
bezrobotny,unemployed
biedny,poor
bliski,close
bliźniaczy,twin
brakujący,missing
brudny,dirty
brzydki,ugly
bystry,clever
całkowity,total
cały,all
chłodny,chilly
chory,sick
chudy,thin
cichy,quiet
ciekawy,interesting
ciemny,dark
cienki,thin
ciepły,warm
cierpliwy,patient
ciężki,heavy
cudowny,fabulous
czarujący,charming
czysty,clean
darmowy,free
decydujący,decisive
denerwujący,annoying
deszczowy,rainy
długi,long
dobrany,matched
docelowy,destination
domowe,home-made
dorosły,adult
doskonały,perfect
dowcipny,witty
drewniany,wooden
drogi,expensive
dumny,proud
dziki,wild
dziwny,strange
ekstra,awesome
elegancki,elegant
empatyczny,empathetic
fajny,nice
fałszywy,fake
fantastyczny,fantastic
fatalny,awful
feralny,fateful
genialny,genius
głębokie,deep
głodny,hungry
głosny,loud
głupi,stupid
gorący,hot
gorzki,bitter
gościnny,hospitable
gotowany,cooked
gruby,fat
grzeczny,polite
idealny,perfect
imponujący,impressive
inny,different
inteligentny,intelligent
interesujący,interesting
introwertyczny,introverted
ironiczny,ironic
irytujący,irritating
jasny,bright
jedyny,only
kluczowy,crucial
kolejny,next
kontrowersyjny,controversial
kreatywny,creative
krótki,short
kruchy,fragile
kulturalny,well-behaved
kupne,shop-bought
kwaśny,sour
lekki,light
leniwy,lazy
lepszy,better
logiczny,logical
lojalny,loyal
ładny,nice
łagodny,gentle
łatwy,easy
martwy,dead
mądry,wise
metalowy,metal
miękki,soft
miły,nice
młody,young
mocny,strong
mokry,wet
mrożony,frozen
najciekawszy,most interesting
najgorszy,worst
najlepszy,best
najpiękniejszy,most beautiful
najważniejszy,most important
następny,next
niebezpieczny,dangerous
niedaleko,near
niedokończony,unfinished
niefrasobliwy,easy-going
niemożliwy,impossible
nieśmiały,shy
niewinny,innocent
niezależny,independent
niezwykły,unusual
niski,short
normalny,normal
nowoczesny,modern
nudny,boring
obojętny,indifferent
odpowiedni,suitable
określony,specific
okropny,horrible
okrutny,cruel
optymistyczny,optimistic
ostatni,last
ostry,spicy
otwarty,open
pełny,full
piękny,beautiful
piętrowy,multi-storey
pijany,drunk
plastikowy,plastic
płatny,paid
pochmurny,cloudy
podany,given
podejrzany,suspicious
podekscytowany,excited
podobny,similar
podstawowy,basic
podwójny,double
poirytowany,irritated
położony,located
poprawny,correct
poprzedni,previous
popularny,popular
potrzebny,necessary
poważny,serious
późny,late
pracowity,hard-working
praktyczny,practical
prawdziwy,real
prosty,simple
prywatny,private
przekonany,convinced
przerażony,frightened
przydatny,useful
przygotowany,prepared
przyjazny,friendly
przyjemny,pleasant
przystojny,handsome
przyzwyczajony do,used to
publiczny,public
pulchni,plump
punktualny,punctual
pusty,empty
refleksyjny,reflective
rozczarowany,disappointed
roztrzepany,scatterbrained
sam,alone
samotny,lonely
serdeczny,hearty (very friendly)
sfrustrowany,frustrated
silny,strong
siwy,grey
skomplikowany,complex
skupiony,focused
słabi,weak
sławny,famous
słodki,sweet
słoneczny,sunny
słony,salty
słynny,famous
smażony,fried
smutny,sad
spoko,alright
spokojny,calm
spontaniczny,spontaneous
spóżniony,delayed
spragniony,thirsty
stojący,standing
straszny,terrible
suchy,dry
surowy,strict
sympatyczny,pleasant
szczególny,special
szczery,sincere
szczęśliwy,happy
szczupły,slim
szeroki,wide
szybki,fast
śmieszny,funny
śpiący,sleepy
średni,medium
świetny,great
świeży,fresh
tani,cheap
tłusty,fatty
towarzyski,social
tradycyjny,traditional
trudny,difficult
trzeżwy,sober
twardy,hard
twórczy,creative
uczciwy,fair
udany,successful
ulubiony,favourite
uprzejmy,polite
utalentowany,talented
ważny,important
wąski,narrow
wczesny,early
wdzięczny,grateful
wegański,vegan
wegetariański,vegetarian
wesoły,cheerful
wielki,large
wietrzny,windy
wliczony,included
własny,own
wolny,free
wolny,slow
wrażliwy,sensitive
wspaniały,wonderful
wspólny,shared
wściekły,furious
wydajny,efficient
wygodny,comfortable
wykluczony,excluded
wypoczęty,well-rested
wysoki,tall
wysportowany,athletic
wytrawny,savoury
wzruszający,moving (emotionally)
zabawny,funny
zachwycony,delighted
zadowolony,satisfied
zajęty,busy
zamknięty,closed
zamyślony,thoughtful
zapracowany,busy with work
zatrudniony,employed
zawodowy,professional
zawstydzony,ashamed
zazdrosny,jealous
zdenerwowany,nervous
zdolny,capable
zdrowy,healthy
zdziwiony,surprised
zepsuty,broken
zgubiony,lost
zimny,cold
złamany,broken
zmęczony,tired
znakomity,brilliant
zszokowany,shocked
związany,related
zwykły,usual
życzliwy,kind
żywy,alive