analizować / zanalizować,to analyse
brać / wziąć,to take
bronić / obronić,to defend
budować / zbudować,to build
budzić się / obudzić się,to wake up
całować / pocałować,to kiss
chorować / zachorować,to be ill
chować / schować,to hide
czekać / poczekać,to wait
czytać / przeczytać,to read
dawać / dać,to give
decydować / zdecydować,to decide
doceniać / docenić,to appreciate
docierać / dotrzeć,to arrive
dodawać / dodać,to add
dołączać / dołączyć,to join
domyślać się / domyślić się,to guess
dostawać / dostać,to get
dowiadywać się / dowiedzieć się,to find out
doznawać / doznać,to experience
działać / zadziałać,"to work (i.e. to take effect, work correctly)"
dzwonić / zadzwonić,to call (on the phone)
emigrować / wyemigrować,to emigrate
ginąć / zginąć,to die
gotować / ugotować,to cook
grać / zagrać,to play
interesować się / zainteresować się,to be interested
jeść / zjeść,to eat
kąpać się / wykąpać się,to bathe
kończyć / skończyć,to end
korzystać / skorzystać,to use
kupować / kupić,to buy
łączyć / połączyć,to connect
malować / pomalować,to paint
martwić się / zmartwić się,to worry
męczyć / zmęczyć,to tire
mówić / powiedzieć,to speak
myć / umyć,to wash
myśleć / pomyśleć,to think
naprawiać / naprawić,to repair
nazywać / nazwać,to call (give a name to)
nocować / przenocować,to stay the night
obiecywać / obiecać,to promise
oddawać / oddać,to give back
odkrywać / odkryć,to uncover
odpoczywać / odpocząć,to rest
odprowadzić,to see off
oglądać / obejrzeć,to watch
opalać się / opalić się,to sunbathe
opisywać / opisać,to describe
opowiadać / opowiedzieć,to tell
opuszczać / opuścić,to leave
organizować / zorganizować,to organise
oszczędzać / oszczędzić,to save (e.g. money)
oszukiwać / oszukać,to cheat
otrzymywać / otrzymać,to receive
otwierać / otworzyć,to open
pamiętać / zapamiętać,to remember
patrzeć / popatrzeć,to look
pić / wypić,to drink
pisać / napisać,to write
planować / zaplanować,to plan
płacić / zapłacić,to pay
płynąć / popłynąć,to flow
podawać / podać,to pass
podnosić / podnieść,to pick up
podobać się / spodobać się,to like
pojawiać się / pojawić się,to appear
pokazywać / pokazać,to show
pomagać / pomóc,to help
poprawiać / poprawić,to improve
powtarzać / powtórzyć,to repeat
poznawać / poznać,to meet (for the first time)
pozwalać / pozwolić,to allow
proponować / zaproponować,to propose
próbować / spróbować,to try
przebierać / przebrać,to change clothes
przedstawiać / przedstawić,to introduce
przekonywać / przekonać,to convince
przerywać / przerwać,to interrupt
przesłuchiwać / przesłuchać,to interrogate
przestawać / przestać,to stop
przeszkadzać / przeszkodzić,to disturb
przyglądać się / przyjrzeć się,to examine (look at carefully)
przygotowywać / przygotować,to prepare
przykrywać / przykryć,to cover
przynosić / przynieść,to bring
przypominać / przypomnieć,to remind
przyznawać się / przyznać się,to admit
pukać / zapukać,to knock
pytać / zapytać,to ask
ratować / uratować,to rescue
reagować / zareagować,to react
rezygnować / zrezygnować,to resign
robić / zrobić,to do
rozglądać się / rozejrzeć się,to look round
rozmawiać / porozmawiać,to talk
rozpoznawać / rozpoznać,to recognise
rozumieć / zrozumieć,to understand
rozwiązywać / rozwiązać,to solve
rumienić się / zarumienić się,to blush
siadać / siąść / usiąść,to sit down
skupiać / skupić,to focus
słyszeć / usłyszeć,to hear
smarować / posmarować,to spread
spędzać / spędzić,to spend (time)
śpieszyć się / pośpieszyć się,to be in a hurry
śpiewać / zaśpiewać,to sing
spotykać / spotkać,to meet
spóźniać się / spóźnić się,to be late
sprawiać / sprawić,to cause
sprzedawać / sprzedać,to sell
starać się / postarać się,to try
starzeć się / zestarzeć się,to age
stawiać / postawić,to set
stwierdzać / stwierdzić,to state
szukać / poszukać,to look for
śmiać się / roześmiać się,to laugh
tańczyć / zatańczyć,to dance
tłumaczyć / przetłumaczyć,to translate
topić / utopić,to drown
tracić / stracić,to lose
ubierać się / ubrać się,to get dressed
uczyć się / nauczyć się,to learn
udawać / udać,to pretend
udawać się / udać się,to be a success
udawać się / udać się,to go to a place
ukrywać / ukryć,to conceal
umawiać się / umówić się,to agree
umierać / umrzeć,to die
unikać / uniknąć,to avoid
uśmiechać się / uśmiechnąć się,to smile
uzupełniać / uzupełnić,to complete
wahać się / zawahać się,to hesitate
widzieć / zobaczyć,to see
wierzyć / uwierzyć,to believe
witać / powitać / przywitać,to welcome
wkładać / włożyć,to put in
włączać / włączyć,to turn on
wspierać / wesprzeć,to support
wstawać / wstać,to get up
wstępować / wstąpić,to enter (e.g. a place or competition)
wstępować / wstąpić,to join (e.g. a club)
wybierać / wybrać,to choose
wygrywać / wygrać,to win
wymyślać / wymyślić,to come up with
wynajmować / wynająć,to rent
wypuszczać / wypuścić,to release
występować / wystąpić,to perform
zabijać / zabić,to kill
zachowywać / zachować,to keep
zaczynać / zacząć,to start
zajmować / zająć,to take up
zamawiać / zamówić,to order
zamykać / zamknąć,to close
zapraszać / zaprosić,to invite
zarabiać / zarobić,to earn
zasypiać / zasnąć,to fall asleep
zatrzymywać się / zatrzymać się,to stop
zawierać / zawrzeć,to contain
zbierać / zebrać,to collect
zdarzać się / zdarzyć się,to happen
zdawać / zdać,to pass (a test)
zdążać / zdążyć,to make it in time
zgadywać / zgadnąć,to guess
zgadzać się / zgodzić się,to agree
zmieniać / zmienić,to change
znajdować / znaleźć,to find
zostawać / zostać,to stay
żegnać / pożegnać,to say goodbye to
żenić się / ożenić się,to get married